name,sub_type,n_distinct,n_miss,n_negative,n_zeros,25%,50%,75%,count,max,mean,min,std,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9
SK_ID_CURR,int64,307511 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%),189145.5,278202.0,367142.5,307511.0,456255.0,278180.51857657125,100002.0,102790.17534842374,326682,414578,432657,346257,169928,228494,305986,450918,393627,121604
TARGET,int64,2 (0.00%),0 (0.00%),0 (0.00%),282686 (91.93%),0.0,0.0,0.0,307511.0,1.0,0.08072881945686496,0.0,0.272418645647685,0,1,0,0,1,0,0,1,0,0
NAME_CONTRACT_TYPE,object,2 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cash loans,Cash loans,Revolving loans,Cash loans,Cash loans,Cash loans,Cash loans,Cash loans,Cash loans,Cash loans
CODE_GENDER,object,3 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,F,M,F,F,F
FLAG_OWN_CAR,object,2 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,Y,N,N,N,N,N,Y,N,N
FLAG_OWN_REALTY,object,2 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,N,Y,Y,Y,Y,Y,N,Y,Y
CNT_CHILDREN,int64,15 (0.00%),0 (0.00%),0 (0.00%),215371 (70.04%),0.0,0.0,1.0,307511.0,19.0,0.4170517477423572,0.0,0.7221213844389559,0,1,0,0,0,0,0,1,2,0
AMT_INCOME_TOTAL,float64,2548 (0.83%),0 (0.00%),0 (0.00%),0 (0.00%),112500.0,147150.0,202500.0,307511.0,117000000.0,168797.9192969845,25650.0,237123.14627883647,166500.0,450000.0,157500.0,135000.0,202500.0,117000.0,90000.0,180000.0,157500.0,90000.0
AMT_CREDIT,float64,5603 (1.82%),0 (0.00%),0 (0.00%),0 (0.00%),270000.0,513531.0,808650.0,307511.0,4050000.0,599025.9997057016,45000.0,402490.776995946,254700.0,1381113.0,450000.0,1764000.0,203760.0,254700.0,538704.0,630000.0,679500.0,755190.0
AMT_ANNUITY,float64,13672 (4.45%),12 (0.00%),0 (0.00%),0 (0.00%),16524.0,24903.0,34596.0,307499.0,258025.5,27108.573909183444,1615.5,14493.737315117392,25191.0,39712.5,22500.0,48510.0,16227.0,25191.0,26046.0,23274.0,36202.5,36459.0
