name,sub_type,n_distinct,n_miss,n_negative,n_zeros,25%,50%,75%,count,max,mean,min,std,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9
SK_ID_CURR,int64,305811 (17.82%),0 (0.00%),0 (0.00%),0 (0.00%),188866.75,278055.0,367426.0,1716428.0,456255.0,278214.9336447553,100001.0,102938.55811238126,226678,158734,202284,275757,308924,298539,220126,180625,152418,134343
SK_ID_BUREAU,int64,1716428 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%),5463953.75,5926303.5,6385681.25,1716428.0,6843457.0,5924434.489031873,5000000.0,532265.7285521366,6173729,6281010,6584010,6680033,5347959,5746640,6356593,6387149,6351262,5829930
CREDIT_ACTIVE,object,4 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closed,Closed,Closed,Active,Closed,Closed,Closed,Closed,Active,Active
CREDIT_CURRENCY,object,4 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,currency 1,currency 1,currency 1,currency 1,currency 1,currency 1,currency 1,currency 1,currency 1,currency 1
DAYS_CREDIT,int64,2923 (0.17%),0 (0.00%),1716403 (100.00%),25 (0.00%),-1666.0,-987.0,-474.0,1716428.0,0.0,-1142.107684680045,-2922.0,795.1649282053439,-1467,-2507,-643,-924,-304,-711,-2742,-405,-1615,-16
CREDIT_DAY_OVERDUE,int64,942 (0.05%),0 (0.00%),0 (0.00%),1712211 (99.75%),0.0,0.0,0.0,1716428.0,2792.0,0.8181665645165425,0.0,36.54442800674444,0,0,0,0,0,0,0,0,0,0
DAYS_CREDIT_ENDDATE,float64,14096 (0.82%),105553 (6.15%),1007389 (58.69%),883 (0.05%),-1138.0,-330.0,474.0,1610875.0,31199.0,510.51736230309615,-42060.0,4994.219837125886,-676.0,-2202.0,-97.0,163.0,,-619.0,-2374.0,326.0,955.0,1068.0
DAYS_ENDDATE_FACT,float64,2917 (0.17%),633653 (36.92%),1082711 (63.08%),64 (0.00%),-1489.0,-897.0,-425.0,1082775.0,0.0,-1017.43714806862,-42023.0,714.0106263423886,-676.0,-2230.0,-97.0,,-279.0,-619.0,-2374.0,-160.0,,
AMT_CREDIT_MAX_OVERDUE,float64,68251 (3.98%),1124488 (65.51%),0 (0.00%),470650 (27.42%),0.0,0.0,0.0,591940.0,115987185.0,3825.417661273144,0.0,206031.60620659255,,0.0,,,,,,,,
CNT_CREDIT_PROLONG,int64,10 (0.00%),0 (0.00%),0 (0.00%),1707314 (99.47%),0.0,0.0,0.0,1716428.0,9.0,0.00641040579622332,0.0,0.09622390572046349,0,0,0,0,0,0,0,0,0,0
AMT_CREDIT_SUM,float64,236708 (13.79%),13 (0.00%),0 (0.00%),66582 (3.88%),51300.0,125518.5,315000.0,1716415.0,585000000.0,354994.59191768744,0.0,1149811.3439803536,111384.0,45000.0,237843.0,450000.0,29250.0,18580.5,675000.0,97132.5,27000.0,36000.0
AMT_CREDIT_SUM_DEBT,float64,226537 (13.20%),257669 (15.01%),8418 (0.49%),1016434 (59.22%),0.0,0.0,40153.5,1458759.0,170100000.0,137085.11995216075,-4705600.32,677401.1309519843,0.0,0.0,,64399.5,0.0,0.0,0.0,0.0,28850.535,35023.5
AMT_CREDIT_SUM_LIMIT,float64,51726 (3.01%),591780 (34.48%),351 (0.02%),1050142 (61.18%),0.0,0.0,0.0,1124648.0,4705600.32,6229.514980300509,-586406.115,45032.03147634889,,0.0,,0.0,,0.0,0.0,,,0.0
AMT_CREDIT_SUM_OVERDUE,float64,1616 (0.09%),0 (0.00%),0 (0.00%),1712270 (99.76%),0.0,0.0,0.0,1716428.0,3756681.0,37.91275774165883,0.0,5937.650034879731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CREDIT_TYPE,object,15 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Consumer credit,Consumer credit,Consumer credit,Consumer credit,Microloan,Consumer credit,Consumer credit,Consumer credit,Credit card,Credit card
DAYS_CREDIT_UPDATE,int64,2982 (0.17%),0 (0.00%),1715806 (99.96%),605 (0.04%),-908.0,-395.0,-33.0,1716428.0,372.0,-593.7483197663986,-41947.0,720.7473115012923,-676,-1535,-92,-8,-279,-601,-1683,-19,-30,-5
AMT_ANNUITY,float64,40321 (2.35%),1226791 (71.47%),0 (0.00%),256915 (14.97%),0.0,0.0,13500.0,489637.0,118453423.5,15712.757700078355,0.0,325826.9490533786,,,,,,,0.0,,40756.5,0.0
