name,sub_type,n_distinct,n_miss,n_negative,n_zeros,25%,50%,75%,count,max,mean,min,std,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9
SK_ID_PREV,int64,104307 (2.72%),0 (0.00%),0 (0.00%),0 (0.00%),1434385.0,1897122.0,2369327.75,3840312.0,2843496.0,1904503.589899727,1000018.0,536469.4705633324,2033976,1298413,1590798,1979274,1903431,2022496,2498831,1235207,2837796,2399399
SK_ID_CURR,int64,103558 (2.70%),0 (0.00%),0 (0.00%),0 (0.00%),189517.0,278396.0,367580.0,3840312.0,456250.0,278324.20728888694,100006.0,102704.47513279459,379258,281213,422598,393320,223935,240743,167235,359955,102048,387413
MONTHS_BALANCE,int64,96 (0.00%),0 (0.00%),3840312 (100.00%),0 (0.00%),-55.0,-28.0,-11.0,3840312.0,-1.0,-34.52192061478338,-96.0,26.667750992609317,-6,-68,-5,-1,-41,-60,-2,-71,-26,-65
AMT_BALANCE,float64,1347904 (35.10%),0 (0.00%),2345 (0.06%),2156420 (56.15%),0.0,0.0,89046.68625,3840312.0,1505902.185,58300.15526185774,-420250.185,106307.03102454545,42212.16,0.0,0.0,0.0,181748.925,0.0,187856.64,0.0,0.0,17165.835
AMT_CREDIT_LIMIT_ACTUAL,int64,181 (0.00%),0 (0.00%),0 (0.00%),753823 (19.63%),45000.0,112500.0,180000.0,3840312.0,1350000.0,153807.95740033622,0.0,165145.69952323468,225000,67500,135000,0,180000,0,180000,0,90000,90000
AMT_DRAWINGS_ATM_CURRENT,float64,2267 (0.06%),749816 (19.52%),1 (0.00%),2665718 (69.41%),0.0,0.0,0.0,3090496.0,2115000.0,5961.324822059312,-6827.31,28225.68857854668,0.0,0.0,,0.0,9000.0,0.0,2250.0,0.0,0.0,0.0
AMT_DRAWINGS_CURRENT,float64,187005 (4.87%),0 (0.00%),3 (0.00%),3223443 (83.94%),0.0,0.0,0.0,3840312.0,2287098.315,7433.388179202412,-6211.62,33846.07733350391,2601.0,0.0,0.0,0.0,9000.0,0.0,2250.0,0.0,0.0,0.0
AMT_DRAWINGS_OTHER_CURRENT,float64,1832 (0.05%),749816 (19.52%),0 (0.00%),3078163 (80.15%),0.0,0.0,0.0,3090496.0,1529847.0,288.16958242463346,0.0,8201.989344669284,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMT_DRAWINGS_POS_CURRENT,float64,168748 (4.39%),749816 (19.52%),0 (0.00%),2825595 (73.58%),0.0,0.0,0.0,3090496.0,2239274.16,2968.804847683069,0.0,20796.887047435393,2601.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMT_INST_MIN_REGULARITY,float64,312266 (8.13%),305236 (7.95%),0 (0.00%),1928864 (50.23%),0.0,0.0,6633.911249999999,3535076.0,202882.005,3540.204128515209,0.0,5600.154122324653,2250.0,0.0,0.0,0.0,9000.0,0.0,9338.13,0.0,0.0,4500.0
AMT_PAYMENT_CURRENT,float64,163209 (4.25%),767988 (20.00%),0 (0.00%),390507 (10.17%),152.37,2702.7,9000.0,3072324.0,4289207.445,10280.53770200115,0.0,36078.084953063626,7200.0,674.91,,0.0,9000.0,8.64,9450.0,212.4,5823.135,4500.0
AMT_PAYMENT_TOTAL_CURRENT,float64,182957 (4.76%),0 (0.00%),0 (0.00%),2172223 (56.56%),0.0,0.0,6750.0,3840312.0,4278315.69,7588.856739464025,0.0,32005.987767685918,4889.025,0.0,0.0,0.0,9000.0,0.0,9450.0,0.0,0.0,4500.0
AMT_RECEIVABLE_PRINCIPAL,float64,1195839 (31.14%),0 (0.00%),2428 (0.06%),2296167 (59.79%),0.0,0.0,85359.23999999999,3840312.0,1472316.795,55965.87690549698,-423305.82,102533.61684328642,41620.14,0.0,0.0,0.0,173994.66,0.0,179562.825,0.0,0.0,15357.555
AMT_RECIVABLE,float64,1338878 (34.86%),0 (0.00%),109338 (2.85%),2113816 (55.04%),0.0,0.0,88899.49124999999,3840312.0,1493338.185,58088.81117667372,-420250.185,105965.3699083036,42212.16,0.0,0.0,0.0,181748.925,0.0,186065.64,0.0,0.0,17165.835
AMT_TOTAL_RECEIVABLE,float64,1339008 (34.87%),0 (0.00%),109330 (2.85%),2113643 (55.04%),0.0,0.0,88914.51,3840312.0,1493338.185,58098.28548873722,-420250.185,105971.8011030385,42212.16,0.0,0.0,0.0,181748.925,0.0,186065.64,0.0,0.0,17165.835
CNT_DRAWINGS_ATM_CURRENT,float64,44 (0.00%),749816 (19.52%),0 (0.00%),2665718 (69.41%),0.0,0.0,0.0,3090496.0,51.0,0.3094490334237611,0.0,1.1004011802434632,0.0,0.0,,0.0,2.0,0.0,1.0,0.0,0.0,0.0
