name,sub_type,n_distinct,n_miss,n_negative,n_zeros,25%,50%,75%,count,max,mean,min,std,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9
SK_ID_PREV,int64,1670214 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%),1461857.25,1923110.5,2384279.75,1670214.0,2845382.0,1923089.1353305625,1000001.0,532597.9586955433,1092395,1252745,1426776,1649070,1937880,2786742,2369053,2100244,2751684,1685570
SK_ID_CURR,int64,338857 (20.29%),0 (0.00%),0 (0.00%),0 (0.00%),189329.0,278714.5,367514.0,1670214.0,456255.0,278357.1740986484,100001.0,102814.8238485575,334586,307326,164677,289639,316386,325443,329812,151568,184899,428430
NAME_CONTRACT_TYPE,object,4 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Revolving loans,Cash loans,Cash loans,Consumer loans,Consumer loans,Cash loans,Consumer loans,Revolving loans,Cash loans,Consumer loans
AMT_ANNUITY,float64,357959 (21.43%),372235 (22.29%),0 (0.00%),1637 (0.10%),6321.78,11250.0,20658.42,1297979.0,418058.145,15955.120659450406,0.0,14782.137334702156,2250.0,,,6263.055,7556.49,,12600.495,20250.0,27580.32,12890.655
AMT_APPLICATION,float64,93885 (5.62%),0 (0.00%),0 (0.00%),392402 (23.49%),18720.0,71046.0,180360.0,1670214.0,6905160.0,175233.86036042805,0.0,292779.76238721795,45000.0,0.0,0.0,43636.5,73080.0,0.0,134995.5,0.0,450000.0,117855.0
AMT_CREDIT,float64,86803 (5.20%),1 (0.00%),0 (0.00%),336768 (20.16%),24160.5,80541.0,216418.5,1670213.0,6905160.0,196114.02121797804,0.0,318574.61654586776,45000.0,0.0,0.0,53280.0,73080.0,0.0,134995.5,405000.0,491580.0,114583.5
AMT_DOWN_PAYMENT,float64,29278 (1.75%),895844 (53.64%),2 (0.00%),369854 (22.14%),0.0,1638.0,7740.0,774370.0,3060045.0,6697.402138796564,-0.9,20921.49540973108,,,,0.0,0.0,,0.0,,,23571.0
AMT_GOODS_PRICE,float64,93885 (5.62%),385515 (23.08%),0 (0.00%),6869 (0.41%),50841.0,112320.0,234000.0,1284699.0,6905160.0,227847.27928334344,0.0,315396.5579366307,45000.0,,,43636.5,73080.0,,134995.5,,450000.0,117855.0
WEEKDAY_APPR_PROCESS_START,object,7 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WEDNESDAY,FRIDAY,WEDNESDAY,SUNDAY,SATURDAY,FRIDAY,TUESDAY,MONDAY,SATURDAY,FRIDAY
HOUR_APPR_PROCESS_START,int64,24 (0.00%),0 (0.00%),0 (0.00%),109 (0.01%),10.0,12.0,15.0,1670214.0,23.0,12.484181667738385,0.0,3.3340279649257907,12,16,11,7,10,16,21,17,13,17
FLAG_LAST_APPL_PER_CONTRACT,object,2 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
NFLAG_LAST_APPL_IN_DAY,int64,2 (0.00%),0 (0.00%),0 (0.00%),5900 (0.35%),1.0,1.0,1.0,1670214.0,1.0,0.9964675185335532,0.0,0.05932963128712511,1,1,1,1,1,1,1,1,1,1
RATE_DOWN_PAYMENT,float64,207033 (12.40%),895844 (53.64%),2 (0.00%),369854 (22.14%),0.0,0.051605084707529336,0.1089090909090909,774370.0,1.0,0.0796368154283738,-1.4978763414307847e-05,0.10782331436174664,,,,0.0,0.0,,0.0,,,0.18581343219498325
RATE_INTEREST_PRIMARY,float64,148 (0.01%),1664263 (99.64%),0 (0.00%),0 (0.00%),0.1607163096452454,0.1891221806641732,0.19332993312932112,5951.0,1.0,0.18835688954982696,0.03478125354187918,0.08767110450633209,,,,,,,,,,
RATE_INTEREST_PRIVILEGED,float64,25 (0.00%),1664263 (99.64%),0 (0.00%),0 (0.00%),0.715644820295983,0.8350951374207188,0.852536997885835,5951.0,1.0,0.7735025434991628,0.3731501057082452,0.10087859145207058,,,,,,,,,,
NAME_CASH_LOAN_PURPOSE,object,25 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XAP,XNA,XNA,XAP,XAP,XNA,XAP,XAP,XNA,XAP
NAME_CONTRACT_STATUS,object,4 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Approved,Canceled,Canceled,Approved,Approved,Refused,Approved,Approved,Approved,Approved
DAYS_DECISION,int64,2922 (0.17%),0 (0.00%),1670214 (100.00%),0 (0.00%),-1300.0,-581.0,-280.0,1670214.0,-1.0,-880.6796679946402,-2922.0,779.0996667604196,-212,-217,-361,-545,-1371,-561,-625,-703,-775,-1021
NAME_PAYMENT_TYPE,object,4 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XNA,XNA,XNA,Cash through the bank,Cash through the bank,XNA,Cash through the bank,XNA,Cash through the bank,Cash through the bank
CODE_REJECT_REASON,object,9 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XAP,XAP,XAP,XAP,XAP,HC,XAP,XAP,XAP,XAP
NAME_TYPE_SUITE,object,7 (0.00%),820405 (49.12%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unaccompanied,,,,Other_A,,,,Unaccompanied,Unaccompanied
NAME_CLIENT_TYPE,object,4 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Repeater,Repeater,Repeater,Repeater,Repeater,Repeater,New,Repeater,Repeater,Repeater
NAME_GOODS_CATEGORY,object,28 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XNA,XNA,XNA,Audio/Video,Furniture,XNA,Audio/Video,XNA,XNA,Computers
NAME_PORTFOLIO,object,5 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cards,XNA,XNA,POS,POS,XNA,POS,Cards,Cash,POS
NAME_PRODUCT_TYPE,object,3 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,walk-in,XNA,XNA,XNA,XNA,XNA,XNA,x-sell,x-sell,XNA
CHANNEL_TYPE,object,8 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Credit and cash offices,Credit and cash offices,Credit and cash offices,Country-wide,Stone,Credit and cash offices,Country-wide,Country-wide,Credit and cash offices,Regional / Local
SELLERPLACE_AREA,int64,2097 (0.13%),0 (0.00%),762675 (45.66%),60523 (3.62%),-1.0,3.0,82.0,1670214.0,4000000.0,313.95111524630977,-1.0,7127.443459167593,-1,-1,-1,1000,238,0,1000,154,-1,168
NAME_SELLER_INDUSTRY,object,11 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XNA,XNA,XNA,Consumer electronics,Furniture,XNA,Consumer electronics,Furniture,XNA,Consumer electronics
CNT_PAYMENT,float64,49 (0.00%),372230 (22.29%),0 (0.00%),144985 (8.68%),6.0,12.0,24.0,1297984.0,84.0,16.0540815603274,0.0,14.56728774400437,0.0,,,10.0,12.0,,12.0,0.0,24.0,10.0
NAME_YIELD_GROUP,object,5 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XNA,XNA,XNA,middle,middle,XNA,low_normal,XNA,low_normal,low_normal
PRODUCT_COMBINATION,object,17 (0.00%),346 (0.02%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Card Street,Cash,Cash,POS household with interest,POS industry with interest,Cash,POS household with interest,Card X-Sell,Cash X-Sell: low,POS household with interest
DAYS_FIRST_DRAWING,float64,2838 (0.17%),673065 (40.30%),62705 (3.75%),0 (0.00%),365243.0,365243.0,365243.0,997149.0,365243.0,342209.85503871535,-2922.0,88916.11583368349,365243.0,,,365243.0,365243.0,,365243.0,-599.0,365243.0,365243.0
DAYS_FIRST_DUE,float64,2892 (0.17%),673065 (40.30%),956504 (57.27%),0 (0.00%),-1628.0,-831.0,-411.0,997149.0,365243.0,13826.269336879443,-2892.0,72444.86970789699,365243.0,,,-514.0,-1322.0,,-594.0,-553.0,-745.0,-990.0
DAYS_LAST_DUE_1ST_VERSION,float64,4605 (0.28%),673065 (40.30%),678188 (40.60%),705 (0.04%),-1242.0,-361.0,129.0,997149.0,365243.0,33767.77405382746,-2801.0,106857.03478910643,365243.0,,,-244.0,-992.0,,-264.0,365243.0,-55.0,-720.0
DAYS_LAST_DUE,float64,2873 (0.17%),673065 (40.30%),785928 (47.06%),0 (0.00%),-1314.0,-537.0,-74.0,997149.0,365243.0,76582.40306413585,-2889.0,149647.41512339553,365243.0,,,-364.0,-992.0,,-324.0,365243.0,-625.0,-720.0
DAYS_TERMINATION,float64,2830 (0.17%),673065 (40.30%),771236 (46.18%),0 (0.00%),-1270.0,-499.0,-44.0,997149.0,365243.0,81992.34383828295,-2874.0,153303.51672927383,365243.0,,,-356.0,-985.0,,-319.0,365243.0,-612.0,-710.0
NFLAG_INSURED_ON_APPROVAL,float64,2 (0.00%),673065 (40.30%),0 (0.00%),665527 (39.85%),0.0,0.0,1.0,997149.0,1.0,0.3325701575190869,0.0,0.4711342382448317,0.0,,,0.0,0.0,,0.0,0.0,1.0,0.0
